Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Sitka Spruce,24,75,201,39.5,54.6,47.2,797,782,747,10,51.5,3.696,34,33,32,131,1605,0.56,11.4,21.4
Sitka Spruce,24,80,193,40.3,56.3,48.1,818,804,770,8,53.4,4.16,31,31,29,133.5,1657,0.49,9.6,20.7
Sitka Spruce,22,10,3357,5.6,6.7,11.9,23,0,0,0,0,0,0,0,0,11.9,23,4.9,14.3,2.3
Sitka Spruce,22,15,2811,9.2,11,26.8,88,0,0,546,12.6,0.048,26,1,0,33.7,115,3.73,21.8,7.6
Sitka Spruce,22,20,1548,13,14.4,25.1,137,10,0,1263,13.2,0.061,77,3,0,49.2,241,2.86,27.7,12
Sitka Spruce,22,25,984,16.9,18.9,27.5,211,68,7,564,15.6,0.137,77,9,0,62.3,391,2.47,31.2,15.6
Sitka Spruce,22,30,703,20.5,23.6,30.7,295,187,58,281,19.5,0.274,77,29,4,73.9,552,2.15,32,18.4
Sitka Spruce,22,35,536,23.7,28.1,33.2,376,303,168,167,23.7,0.461,77,49,16,83.8,711,1.83,30.5,20.3
Sitka Spruce,22,40,427,26.6,32.3,35.1,445,394,287,109,27.7,0.712,77,61,33,92.2,857,1.55,27.6,21.4
Sitka Spruce,22,45,359,29,36.2,36.9,506,468,385,68,31.6,1.016,69,60,42,99.3,986,1.32,24.3,21.9
Sitka Spruce,22,50,314,31,39.6,38.7,560,530,465,45,35,1.336,59,54,43,105.3,1100,1.13,21.4,22
Sitka Spruce,22,55,283,32.7,42.6,40.5,609,584,531,31,38.2,1.693,51,48,41,110.6,1200,0.98,18.8,21.8
Sitka Spruce,22,60,261,34.2,45.3,42.1,652,630,584,22,41.1,2.032,45,43,38,115.2,1288,0.84,16.5,21.5
Sitka Spruce,22,65,243,35.5,47.7,43.4,689,669,628,18,43.7,2.375,40,38,35,119,1364,0.71,14.3,21
Sitka Spruce,22,70,229,36.6,49.7,44.4,719,702,662,14,45.9,2.618,36,34,32,122.2,1431,0.62,12.5,20.4
Sitka Spruce,22,75,218,37.6,51.5,45.4,745,729,691,11,47.9,3.067,32,31,29,125.2,1489,0.54,10.9,19.9
Sitka Spruce,22,80,209,38.4,53.1,46.2,766,750,714,9,49.7,3.384,29,28,27,127.6,1539,0.47,9.2,19.2
Sitka Spruce,20,15,3089,8.5,10.9,28.8,81,0,0,122,13.2,0.109,13,0,0,30.5,94,3.14,18.9,6.3
Sitka Spruce,20,20,1737,12,13.6,25.2,119,6,0,1352,13.1,0.052,70,2,0,45.2,202,2.74,24.1,10.1
Sitka Spruce,20,25,1108,15.5,17.6,27,182,42,2,629,14.8,0.111,70,6,0,57.9,335,2.4,28.1,13.4
Sitka Spruce,20,30,791,19,22,30.2,259,143,34,317,18.1,0.221,70,18,1,69.2,483,2.11,29.6,16.1
Sitka Spruce,20,35,603,22.1,26.3,32.8,337,253,117,188,22,0.371,70,38,9,78.9,631,1.8,28.6,18
Sitka Spruce,20,40,480,24.9,30.3,34.7,405,345,226,123,25.7,0.572,70,51,22,87.2,769,1.52,26.1,19.2
Sitka Spruce,20,45,400,27.2,34,36.2,463,419,324,80,29.3,0.822,66,54,33,94.1,892,1.28,23.1,19.8
Sitka Spruce,20,50,348,29.2,37.2,37.9,515,481,404,52,32.5,1.094,56,50,37,100,1000,1.11,20.4,20
Sitka Spruce,20,55,313,30.9,40.1,39.6,562,534,471,35,35.5,1.394,49,45,36,105.1,1095,0.96,18,19.9
Sitka Spruce,20,60,287,32.3,42.7,41.1,603,579,526,26,38.2,1.656,42,40,34,109.6,1179,0.81,15.7,19.7
Sitka Spruce,20,65,267,33.6,44.9,42.2,638,617,570,20,40.5,1.904,38,36,32,113.3,1252,0.68,13.5,19.3
Sitka Spruce,20,70,251,34.7,46.8,43.2,668,647,605,16,42.6,2.169,33,32,29,116.4,1314,0.61,11.9,18.8
Sitka Spruce,20,75,239,35.6,48.6,44.3,693,675,635,12,44.5,2.595,30,29,27,119.3,1370,0.52,10.4,18.3
Sitka Spruce,20,80,228,36.4,50,44.9,714,697,658,11,46.1,2.651,27,26,25,121.6,1418,0.45,8.7,17.7
Sitka Spruce,18,15,3237,7.7,10.2,24.5,74,0,0,32,12,0.04,1,0,0,26.9,75,2.87,14.7,5
Sitka Spruce,18,20,1994,10.9,12.5,24.3,101,2,0,1243,12.8,0.051,63,2,0,40.7,166,2.61,20.7,8.3
Sitka Spruce,18,25,1285,14.2,16,25.8,154,20,0,709,14,0.089,63,4,0,53,281,2.34,24.9,11.3
Sitka Spruce,18,30,913,17.4,20.1,28.9,224,93,14,372,16.5,0.169,63,10,0,64.1,414,2.07,26.9,13.8
Sitka Spruce,18,35,695,20.4,24.1,31.7,297,196,66,218,19.9,0.289,63,26,4,73.7,550,1.76,26.5,15.7
Sitka Spruce,18,40,553,23.1,27.8,33.6,362,288,156,142,23.4,0.441,63,39,12,81.7,678,1.48,24.5,17
Sitka Spruce,18,45,456,25.4,31.3,35,416,361,250,97,26.6,0.638,62,47,23,88.5,794,1.26,22,17.7
Sitka Spruce,18,50,394,27.4,34.4,36.6,467,425,332,62,29.7,0.861,53,44,28,94.4,898,1.09,19.5,18
Sitka Spruce,18,55,352,29,37.2,38.3,513,479,402,42,32.5,1.104,46,41,30,99.5,989,0.93,17.1,18
Sitka Spruce,18,60,321,30.4,39.6,39.6,553,523,459,31,34.9,1.321,40,37,29,103.7,1069,0.77,14.7,17.8
Sitka Spruce,18,65,297,31.7,41.7,40.5,585,559,503,24,37.1,1.52,35,33,27,107.1,1136,0.63,12.5,17.5
Sitka Spruce,18,70,279,32.7,43.5,41.3,611,587,538,18,39,1.768,31,30,26,110.1,1194,0.59,11.2,17.1
Sitka Spruce,18,75,265,33.5,45.2,42.6,637,616,571,14,40.8,2.121,28,27,24,113.1,1248,0.52,9.9,16.6
Sitka Spruce,18,80,253,34.3,46.6,43.2,656,636,594,12,42.3,2.18,26,24,22,115.3,1292,0.43,8.2,16.2
Sitka Spruce,16,15,3301,6.9,9.5,23.2,57,0,0,0,0,0,0,0,0,23.2,57,2.73,11.1,3.8
Sitka Spruce,16,20,2292,9.8,11.4,23.6,86,0,0,1009,12.6,0.046,46,1,0,36.1,132,2.47,17.3,6.6
Sitka Spruce,16,25,1504,12.8,14.4,24.4,128,9,0,788,13.3,0.071,56,2,0,47.8,230,2.27,21.5,9.2
Sitka Spruce,16,30,1071,15.8,18.1,27.5,189,50,4,433,15.1,0.129,56,5,0,58.8,347,2.05,24,11.6
Sitka Spruce,16,35,817,18.7,21.9,30.7,256,138,32,254,17.9,0.22,56,14,1,68.3,470,1.75,24.3,13.4
Sitka Spruce,16,40,649,21.3,25.4,32.8,319,228,93,168,21.1,0.332,56,27,5,76.3,589,1.46,22.9,14.7
Sitka Spruce,16,45,532,23.5,28.6,34.1,372,303,175,117,24,0.479,56,37,12,82.9,698,1.23,20.6,15.5
Sitka Spruce,16,50,457,25.4,31.4,35.5,420,366,255,75,26.8,0.652,49,38,18,88.6,795,1.05,18.2,15.9
Sitka Spruce,16,55,407,27,34,37,463,419,325,50,29.3,0.832,42,35,21,93.5,880,0.91,16.1,16
Sitka Spruce,16,60,371,28.4,36.3,38.3,501,464,382,36,31.5,1.006,37,32,22,97.7,955,0.77,14,15.9
Sitka Spruce,16,65,343,29.5,38.2,39.4,533,501,430,28,33.5,1.174,32,29,22,101.2,1020,0.64,12.1,15.7
Sitka Spruce,16,70,321,30.5,40,40.2,560,531,468,22,35.3,1.35,30,27,22,104.1,1076,0.56,10.5,15.4
Sitka Spruce,16,75,304,31.4,41.5,41,583,557,500,17,36.8,1.527,26,24,20,106.8,1125,0.48,9.1,15
Sitka Spruce,16,80,289,32.1,42.8,41.6,602,577,525,15,38.2,1.662,24,19,19,109,1167,0.41,7.6,14.6
Sitka Spruce,14,15,3331,6.2,8.3,18,39,0,0,0,0,0,0,0,0,18,39,2.62,8.6,2.6
Sitka Spruce,14,20,2681,8.8,10.6,23.7,75,0,0,650,12.5,0.044,28,1,0,31.7,103,2.52,14.8,5.1
Sitka Spruce,14,25,1809,11.5,13,23.9,109,3,0,872,12.8,0.056,49,1,0,43.2,187,2.17,18.3,7.5
Sitka Spruce,14,30,1299,14.3,16.1,26.3,159,22,0,510,14,0.096,49,3,0,53.4,285,1.93,20.6,9.5
Sitka Spruce,14,35,982,16.9,19.4,29,217,79,10,317,16,0.155,49,7,0,62.5,392,1.68,21.3,11.2
Sitka Spruce,14,40,780,19.3,22.6,31.2,274,159,42,202,18.6,0.242,49,15,1,70.2,499,1.43,20.7,12.5
Sitka Spruce,14,45,639,21.5,25.6,32.8,325,235,99,141,21.3,0.347,49,25,5,76.8,599,1.22,19.1,13.3
Sitka Spruce,14,50,545,23.4,28.3,34.2,371,300,169,94,23.8,0.475,45,29,9,82.4,689,1.04,17.1,13.8
Sitka Spruce,14,55,483,24.9,30.7,35.6,413,354,237,62,26,0.607,38,28,13,87.2,769,0.88,14.9,14
Sitka Spruce,14,60,438,26.2,32.7,36.9,448,399,296,45,28,0.744,33,27,15,91.2,838,0.73,12.8,14
Sitka Spruce,14,65,404,27.3,34.5,37.8,478,436,342,34,29.8,0.854,29,25,15,94.4,897,0.61,11.1,13.8
Sitka Spruce,14,70,377,28.3,36.1,38.6,503,466,382,27,31.3,0.992,26,23,16,97.2,948,0.54,9.9,13.5
Sitka Spruce,14,75,356,29.1,37.5,39.4,527,493,417,21,32.8,1.125,23,21,15,99.8,995,0.47,8.7,13.3
Sitka Spruce,14,80,339,29.8,38.7,40,545,514,444,17,34,1.241,22,20,15,102,1035,0.39,7,12.9
Sitka Spruce,12,20,3079,7.7,10.2,25,64,0,0,131,13,0.087,11,0,0,26.8,75,2.34,11.8,3.7
Sitka Spruce,12,25,2149,10.2,12,24.2,91,1,0,930,12.8,0.045,42,1,0,38,144,2.12,15.3,5.8
Sitka Spruce,12,30,1584,12.7,14.5,26.1,133,10,0,565,13.5,0.074,42,2,0,47.9,228,1.86,17.5,7.6
Sitka Spruce,12,35,1206,15.1,17.3,28.3,182,38,1,378,14.7,0.111,42,3,0,56.6,320,1.62,18.5,9.1
Sitka Spruce,12,40,956,17.4,20.1,30.5,234,99,16,250,16.6,0.168,42,7,0,64.1,413,1.39,18.3,10.3
Sitka Spruce,12,45,785,19.4,22.8,32.1,281,167,46,171,18.8,0.245,42,13,1,70.5,503,1.18,17.2,11.2
Sitka Spruce,12,50,664,21.2,25.3,33.3,323,230,93,121,21,0.333,40,20,4,76,585,1,15.5,11.7
Sitka Spruce,12,55,585,22.7,27.4,34.6,361,284,148,79,23,0.428,34,21,6,80.5,657,0.84,13.6,11.9
Sitka Spruce,12,60,529,23.9,29.3,35.7,395,328,201,56,24.7,0.521,29,20,8,84.3,720,0.7,11.7,12
Sitka Spruce,12,65,487,25,30.9,36.6,423,365,248,42,26.3,0.615,26,19,9,87.5,774,0.59,10.2,11.9
Sitka Spruce,12,70,455,25.9,32.4,37.4,447,396,289,32,27.6,0.709,23,18,10,90.3,821,0.52,9,11.7
Sitka Spruce,12,75,429,26.7,33.6,38.1,469,423,323,26,28.9,0.793,21,17,10,92.7,864,0.45,7.9,11.5
Sitka Spruce,12,80,407,27.3,34.7,38.6,486,444,351,22,30,0.871,20,17,11,94.7,901,0.38,6.4,11.3
Sitka Spruce,10,20,3312,6.6,8.9,20.5,48,0,0,0,0,0,0,0,0,20.5,48,2.27,9.1,2.4
Sitka Spruce,10,25,2643,8.9,10.7,23.8,75,0,0,669,12.6,0.045,30,1,0,32.2,105,2.13,12.5,4.2
Sitka Spruce,10,30,2013,11.1,12.7,25.4,109,3,0,630,12.8,0.056,35,1,0,41.9,174,1.81,14.5,5.8
Sitka Spruce,10,35,1566,13.2,14.9,27.4,150,13,0,447,13.5,0.078,35,2,0,50.2,250,1.57,15.5,7.1
Sitka Spruce,10,40,1245,15.3,17.3,29.3,194,40,1,321,14.6,0.109,35,3,0,57.5,329,1.36,15.7,8.2
Sitka Spruce,10,45,1021,17.1,19.6,30.9,236,91,13,224,16.2,0.156,35,5,0,63.8,406,1.15,15,9
Sitka Spruce,10,50,859,18.8,21.8,32.1,274,147,33,162,17.9,0.216,35,9,1,69.1,479,0.96,13.7,9.6
Sitka Spruce,10,55,751,20.2,23.7,33.2,309,198,63,108,19.6,0.274,30,11,2,73.4,543,0.79,12.1,9.9
Sitka Spruce,10,60,675,21.5,25.4,34.1,340,243,99,76,21.1,0.333,25,12,2,77,600,0.66,10.6,10
Sitka Spruce,10,65,619,22.5,26.8,34.9,366,281,137,56,22.4,0.399,22,13,3,80.1,649,0.57,9.2,10
Sitka Spruce,10,70,577,23.3,28.1,35.7,389,312,173,42,23.6,0.466,20,13,4,82.7,691,0.49,8,9.9
Sitka Spruce,10,75,542,24.1,29.2,36.3,408,338,205,35,24.7,0.527,19,13,5,85,729,0.43,7.1,9.7
Sitka Spruce,10,80,513,24.7,30.2,36.8,424,360,234,29,25.6,0.585,18,13,5,87,762,0.37,5.8,9.5
Sitka Spruce,8,25,3073,7.5,10,24.3,64,0,0,204,11.9,0.038,8,0,0,26.6,72,1.76,8.6,2.9
Sitka Spruce,8,30,2538,9.4,11.3,25.6,86,0,0,535,12.9,0.052,28,1,0,35,122,1.62,11,4.1
Sitka Spruce,8,35,2039,11.3,12.9,26.8,118,3,0,499,13,0.056,28,1,0,42.8,182,1.48,12.4,5.2
Sitka Spruce,8,40,1655,13.2,14.8,28.4,154,13,0,384,13.4,0.073,28,1,0,49.8,246,1.31,13,6.2
Sitka Spruce,8,45,1363,14.9,16.7,29.8,191,32,0,292,14.3,0.096,28,2,0,55.9,311,1.12,12.6,6.9
Sitka Spruce,8,50,1145,16.4,18.5,30.9,224,67,6,218,15.4,0.129,28,3,0,61,372,0.94,11.7,7.4
Sitka Spruce,8,55,996,17.7,20.2,32,255,109,17,149,16.5,0.17,25,4,0,65.3,428,0.79,10.6,7.8
Sitka Spruce,8,60,892,18.8,21.7,32.9,282,149,33,104,17.8,0.209,22,5,0,68.9,477,0.65,9.3,8
Sitka Spruce,8,65,814,19.8,22.9,33.6,306,184,51,78,18.9,0.243,19,6,1,71.8,520,0.53,8,8
Sitka Spruce,8,70,753,20.6,24,34.1,326,215,72,61,19.9,0.283,17,7,1,74.2,557,0.46,6.9,8
Sitka Spruce,8,75,705,21.2,25,34.7,342,240,93,48,20.8,0.338,16,8,1,76.4,589,0.39,6.2,7.9
Sitka Spruce,8,80,663,21.9,25.9,34.9,355,261,115,42,21.6,0.365,16,8,2,78.2,618,0.33,5.1,7.7
Sitka Spruce,6,25,3335,6.1,8.5,18.9,40,0,0,0,0,0,0,0,0,18.9,40,1.64,6.2,1.6
Sitka Spruce,6,30,3134,7.7,10,24.8,68,0,0,201,12,0.04,8,0,0,27,76,1.53,7.9,2.5
Sitka Spruce,6,35,2662,9.4,11.2,26.2,90,0,0,472,12.4,0.045,21,0,0,34.2,119,1.37,9.2,3.4
Sitka Spruce,6,40,2218,11,12.5,27.2,118,2,0,444,12.6,0.047,21,0,0,40.8,168,1.25,10.1,4.2
Sitka Spruce,6,45,1876,12.5,13.9,28.5,148,8,0,342,13.1,0.061,21,1,0,46.7,219,1.1,10.2,4.9
Sitka Spruce,6,50,1601,13.8,15.3,29.5,177,18,0,275,13.7,0.076,21,1,0,51.8,269,0.93,9.6,5.4
Sitka Spruce,6,55,1391,15,16.7,30.3,202,35,0,210,14.4,0.098,21,1,0,56,315,0.77,8.6,5.7
Sitka Spruce,6,60,1237,16,17.9,31,224,56,4,154,15,0.119,18,2,0,59.4,355,0.62,7.6,5.9
Sitka Spruce,6,65,1123,16.8,18.9,31.6,242,79,9,114,15.8,0.144,17,2,0,62.2,390,0.51,6.5,6
Sitka Spruce,6,70,1033,17.5,19.8,31.9,257,102,15,90,16.4,0.169,15,2,0,64.5,419,0.41,5.6,6
Sitka Spruce,6,75,960,18.1,20.6,32.1,268,122,22,73,17.5,0.194,14,3,0,66.3,445,0.35,4.9,5.9
Sitka Spruce,6,80,900,18.7,21.4,32.3,278,142,30,60,17.9,0.223,13,3,0,68,468,0.29,4.2,5.9
Norway Spruce,22,10,3840,5.8,7.1,15.2,22,0,0,0,0,0,0,0,0,15.2,22,1.58,6.2,2.2
Norway Spruce,22,15,3806,8.7,9.2,25.1,69,0,0,34,10.9,0.09,3,0,0,25.4,72,2.56,15,4.8
Norway Spruce,22,20,1866,11.8,11.8,20.4,93,1,0,1940,11.5,0.04,77,0,0,40.7,173,3.01,23.7,8.6
Norway Spruce,22,25,1144,15.1,16.3,24,152,23,0,722,14,0.107,77,5,0,55.5,309,2.81,29.1,12.4
Norway Spruce,22,30,786,18.3,21.4,28.4,230,118,25,358,17.8,0.215,77,19,1,68.8,464,2.54,31.4,15.5
Norway Spruce,22,35,590,21.2,26.5,32.6,312,236,112,196,22.7,0.393,77,45,12,80.9,623,2.3,31.6,17.8
Norway Spruce,22,40,470,23.7,31.3,36.2,392,340,236,10,27.9,0.641,77,61,33,91.8,780,2.09,30.5,19.5
Norway Spruce,22,45,388,26,35.9,39.2,463,428,349,82,32.8,0.945,77,69,51,101.8,928,1.9,28.8,20.6
Norway Spruce,22,50,329,28.1,40.2,41.7,525,499,441,59,37.5,1.307,77,72,61,110.8,1067,1.73,26.9,21.3
Norway Spruce,22,55,284,29.9,44.3,43.9,578,557,514,45,42,1.734,77,74,67,119.1,1197,1.6,25.1,21.8
Norway Spruce,22,60,252,31.5,48.3,46.2,627,610,573,32,46.3,2.25,72,70,65,126.8,1318,1.48,23.3,22
Norway Spruce,22,65,229,33,52.1,48.8,675,661,628,23,50.3,2.771,63,61,58,133.9,1429,1.35,21.3,22
Norway Spruce,22,70,212,34.3,55.5,51.2,720,707,676,17,54,3.26,56,55,53,140.3,1530,1.2,19.1,21.9
Norway Spruce,22,75,197,35.6,58.6,53.1,757,745,716,15,57.2,3.683,52,51,49,145.9,1620,1.12,17.7,21.6
Norway Spruce,22,80,186,36.7,61.6,55.5,794,781,754,11,60.4,4.455,50,49,47,151.5,1707,1.01,16,21.3
Norway Spruce,20,15,3678,8,8.9,22.7,58,0,0,0,0,0,0,0,0,22.7,58,2.38,13.2,3.8
Norway Spruce,20,20,2130,11.1,11.3,21.3,85,0,0,1548,11.5,0.039,61,0,0,37.3,146,2.9,21.2,7.3
Norway Spruce,20,25,1329,14.2,15.3,24.4,139,14,0,801,13.5,0.087,70,3,0,51.8,269,2.72,26.4,10.8
Norway Spruce,20,30,913,17.2,19.9,28.2,209,84,12,416,16.5,0.168,70,11,0,64.6,410,2.42,28.6,13.7
Norway Spruce,20,35,684,19.9,24.4,32,284,192,69,229,20.6,0.305,70,32,6,76,555,2.17,28.8,15.9
Norway Spruce,20,40,540,22.4,28.8,35.2,357,293,172,144,25.1,0.484,70,49,20,86.3,698,1.98,28,17.4
Norway Spruce,20,45,445,24.5,33,38,424,379,283,95,29.7,0.735,70,59,37,95.7,835,1.8,26.7,18.5
Norway Spruce,20,50,376,26.5,37,40.4,483,450,376,69,34,1.026,70,63,49,104.3,964,1.63,25,19.3
Norway Spruce,20,55,324,28.3,40.7,42.3,534,508,452,52,38.1,1.365,70,66,56,112.1,1085,1.49,23.3,19.7
Norway Spruce,20,60,286,29.8,44.4,44.1,579,558,515,38,42,1.755,67,64,57,119.2,1196,1.37,21.6,19.9
Norway Spruce,20,65,259,31.3,47.8,46.3,624,607,569,27,45.7,2.167,58,56,52,125.8,1300,1.27,20,20
Norway Spruce,20,70,238,32.5,51,48.6,668,652,618,21,49.1,2.599,53,51,48,131.9,1396,1.16,18.4,19.9
Norway Spruce,20,75,222,33.7,54,50.7,707,692,661,16,52.3,3.05,49,48,45,137.4,1484,1.06,16.8,29.8
Norway Spruce,20,80,209,34.7,56.6,52.2,741,728,697,13,55.1,3.355,46,45,43,142.5,1564,0.97,15.3,29.6
Norway Spruce,18,15,3727,7.4,8.1,19.4,43,0,0,0,0,0,0,0,0,19.4,43,2.19,11.4,2.9
Norway Spruce,18,20,2527,10.2,10.5,21.9,77,0,0,1200,11.2,0.035,42,0,0,33.7,120,2.82,18.6,6
Norway Spruce,18,25,1590,13.2,13.9,24,124,7,0,937,12.6,0.067,63,1,0,47.6,229,2.62,23.5,9.2
Norway Spruce,18,30,1091,16,17.9,27.4,187,46,3,499,15.1,0.126,63,6,0,59.9,355,2.3,25.6,11.8
Norway Spruce,18,35,805,18.6,22,30.6,254,140,33,286,18.3,0.22,63,18,2,70.7,485,2.06,26,13.9
Norway Spruce,18,40,639,21,26,34,320,237,106,166,22.1,0.38,63,35,9,80.4,614,1.86,25.4,15.4
Norway Spruce,18,45,519,23,29.8,36.3,382,322,204,120,26.3,0.525,63,47,22,89.3,739,1.69,24.4,16.4
Norway Spruce,18,50,438,24.9,33.5,38.5,438,394,299,81,30.3,0.779,63,54,35,97.3,858,1.53,23,17.2
Norway Spruce,18,55,376,26.6,36.9,40.3,486,452,378,62,34,1.031,63,57,44,104.6,969,1.4,21.5,17.6
Norway Spruce,18,60,330,28.1,40.2,41.9,528,502,444,46,37.6,1.341,61,57,48,111.3,1073,1.29,20,17.9
Norway Spruce,18,65,298,29.4,43.3,43.9,572,549,503,32,40.9,1.666,53,51,45,117.5,1169,1.19,18.6,18
Norway Spruce,18,70,273,30.7,46.3,46,613,594,553,25,44.1,2.029,48,47,43,123.2,1259,1.08,17,18
Norway Spruce,18,75,253,31.8,49,47.6,649,632,595,20,47,2.291,45,44,41,128.3,1339,0.99,15.7,17.9
Norway Spruce,18,80,237,32.8,51.5,49.4,682,667,633,16,49.7,2.696,43,42,39,133.1,1415,0.92,14.5,17.7
Norway Spruce,16,15,3778,6.7,7.2,15.5,29,0,0,0,0,0,0,0,0,15.5,29,1.99,9.5,2
Norway Spruce,16,20,2992,9.4,9.7,22.1,69,0,0,786,11,0.031,25,0,0,29.6,94,2.76,16,4.7
Norway Spruce,16,25,1902,12.2,12.5,23.4,109,2,0,1090,11.9,0.051,56,0,0,43.1,190,2.54,20.7,7.6
Norway Spruce,16,30,1318,14.9,16,26.5,165,22,0,584,13.8,0.096,56,3,0,54.9,301,2.23,22.9,10
Norway Spruce,16,35,969,17.3,19.7,29.6,226,88,12,349,16.4,0.16,56,9,0,65.3,418,1.97,23.3,12
Norway Spruce,16,40,758,19.5,23.4,32.5,286,178,54,211,19.6,0.265,56,21,3,75.6,535,1.76,22.9,13.4
Norway Spruce,16,45,616,21.5,26.8,34.9,343,263,129,142,23.1,0.394,56,34,10,82.9,647,1.58,22,14.4
Norway Spruce,16,50,518,23.2,30.1,36.9,394,334,216,98,26.7,0.573,56,43,21,90.4,755,1.43,20.9,15.1
Norway Spruce,16,55,444,24.9,33.2,38.6,440,394,297,74,30,0.765,56,47,30,97.3,856,1.31,19.6,15.6
Norway Spruce,16,60,388,26.3,36.2,40,479,444,365,56,33.2,0.996,55,50,37,103.5,951,1.19,18.2,15.8
Norway Spruce,16,65,349,27.6,39,41.7,518,489,425,39,36.3,1.244,48,45,37,109.2,1038,1.09,16.9,16
Norway Spruce,16,70,319,28.7,41.6,43.3,556,531,477,30,39.1,1.473,44,41,36,114.4,1120,1,15.8,16
Norway Spruce,16,75,295,29.8,44,44.9,592,570,524,24,41.7,1.698,40,39,35,119.2,1196,0.92,14.7,15.9
Norway Spruce,16,80,275,30.8,46.3,46.4,623,604,563,20,44.2,1.99,39,37,34,123.7,1266,0.86,13.6,15.8
Norway Spruce,14,15,3832,6,7,14.9,23,0,0,0,0,0,0,0,0,14.9,23,1.78,7.5,1.5
Norway Spruce,14,20,3608,8.5,9,23.2,62,0,0,224,10.9,0.035,8,0,0,25.3,70,2.32,12.8,3.5
Norway Spruce,14,25,2305,11.2,11.2,22.9,94,0,0,1303,11.3,0.038,49,0,0,38.1,151,2.41,17.7,6
Norway Spruce,14,30,1614,13.7,14.2,25.4,141,9,0,691,12.7,0.071,49,1,0,49.4,247,2.1,19.8,8.2
Norway Spruce,14,35,1187,15.9,17.3,28,193,40,2,427,14.6,0.115,49,4,0,59.1,348,1.85,20.4,9.9
Norway Spruce,14,40,919,18,20.6,30.6,246,112,20,268,17.1,0.183,49,9,0,67.9,450,1.67,20.3,11.3
Norway Spruce,14,45,747,19.8,23.8,33.1,298,192,62,172,20,0.285,49,20,3,75.8,551,1.5,19.7,12.2
Norway Spruce,14,50,622,21.5,26.8,35,345,264,129,125,23,0.393,49,30,8,82.9,647,1.34,18.8,12.9
Norway Spruce,14,55,532,23,29.6,36.5,387,324,202,90,26.1,0.546,49,36,16,89.2,738,1.21,17.6,13.4
Norway Spruce,14,60,463,24.4,32.2,37.8,423,374,271,69,29,0.713,49,40,24,95,823,1.12,16.6,13.7
Norway Spruce,14,65,414,25.6,34.8,39.4,460,421,333,49,31.7,0.903,44,38,27,100.4,904,1.05,15.6,13.9
Norway Spruce,14,70,378,26.7,37.2,41.2,497,464,390,36,34.3,1.103,39,35,27,105.4,979,0.94,14.4,14
Norway Spruce,14,75,349,27.7,39.4,42.5,530,501,438,29,36.7,1.251,36,33,28,109.8,1048,0.84,13.3,14
Norway Spruce,14,80,324,28.6,41.4,43.7,559,534,479,25,38.9,1.436,35,33,28,113.8,1112,0.8,12.5,13.9
Norway Spruce,12,20,3708,7.6,8.4,20.8,49,0,0,0,0,0,0,0,0,20.8,49,2.14,10.4,2.4
Norway Spruce,12,25,2733,10.1,10.4,23.1,79,0,0,975,11.2,0.035,34,0,0,32.8,114,2.28,14.6,4.6
Norway Spruce,12,30,2961,12.4,12.8,25.1,118,3,0,772,12.1,0.055,42,0,0,43.6,195,2.01,16.8,6.5
Norway Spruce,12,35,1467,14.5,15.4,27.4,163,18,0,494,13.5,0.085,42,2,0,52.9,282,1.75,17.5,8
Norway Spruce,12,40,1138,16.4,18.2,29.6,209,56,5,329,15.3,0.126,42,4,0,61.1,370,1.55,17.5,9.2
Norway Spruce,12,45,917,18.1,21,31.6,254,123,23,221,17.4,0.19,42,9,0,68.5,457,1.4,17.2,10.1
Norway Spruce,12,50,765,19.6,23.6,33.6,297,190,60,152,19.8,0.276,42,17,2,75.1,541,1.26,16.6,10.8
Norway Spruce,12,55,650,21.1,26.2,35,336,251,114,115,22.4,0.363,42,24,6,81.1,623,1.13,15.7,11.3
Norway Spruce,12,60,565,22.4,28.6,36.2,370,302,174,85,24.9,0.492,42,29,11,86.4,699,1.03,14.7,11.6
Norway Spruce,12,65,503,23.5,30.8,37.5,403,346,234,62,27.4,0.625,39,30,16,91.4,770,0.95,13.8,11.8
Norway Spruce,12,70,458,24.5,32.9,39,436,389,290,45,29.6,0.762,34,28,18,95.9,836,0.89,13.1,11.9
Norway Spruce,12,75,423,25.5,34.9,40.6,468,429,341,35,31.8,0.906,31,27,19,100.2,900,0.79,12.1,12
Norway Spruce,12,80,393,26.4,36.7,41.5,496,461,383,30,33.7,0.997,30,27,21,103.9,957,0.74,11.3,12
Norway Spruce,10,20,3782,6.6,7.1,14.9,28,0,0,0,0,0,0,0,0,14.9,28,1.98,8.4,1.4
Norway Spruce,10,25,3403,8.9,9.4,23.6,67,0,0,379,11.1,0.035,13,0,0,27.3,80,2.24,11.7,3.2
